SkinTone,SuitableColors
Porcelain,"Soft Pink,Lavender,Light Blue,Mint"
Ivory,"Peach,Sky Blue,Rose,Light Green"
Fair Beige,"Coral,Teal,Baby Blue,Light Purple"
Light Beige,"Navy Blue,Peach,Olive,Soft Yellow"
Warm Ivory,"Mustard,Emerald,Cream,Rust"
Neutral Beige,"Burgundy,Olive,Beige,Turquoise"
Light Medium,"Maroon,Sage Green,Royal Blue,Bronze"
Honey,"White,Turquoise,Rust,Olive Green"
Golden,"Gold,Brown,Cobalt Blue,Orange"
Medium Tan,"Emerald,Mustard,Royal Blue,Burgundy"
Warm Tan,"Khaki,Wine Red,Olive,Copper"
Olive,"Coral,Bronze,Khaki,Wine Red"
Bronze,"Gold,Black,White,Rust"
Light Brown,"Gold,Cream,Navy Blue,Pink"
Caramel,"Copper,Ivory,Beige,Green"
Chestnut,"Yellow,Copper,White,Red"
Brown,"Gold,Cobalt Blue,Cream,Orange"
Dark Brown,"Yellow,Red,Copper,Ivory"
Deep Brown,"White,Sky Blue,Silver,Emerald Green"
Ebony,"White,Silver,Purple,Emerald Green"
Deep Ebony,"White,Cobalt Blue,Gray,Gold"
Mocha,"Beige,Wine Red,Teal,Ivory"
Espresso,"Sky Blue,White,Silver,Gold"
